crossing_candidate_id,lat,lon,utm_x,utm_y,raw_event_count,osm_way_count,osm_way_ids,osm_highway,osm_ref,osm_name,motor_vehicle_access_class,member_access_classes,restriction_evidence,road_hierarchy,corridor_continuity,materiality_screen,documentary_inventory_match,current_gateway_match,known_gateway_id,overlap_boundary_geometry,dedup_cluster_diameter_m,dedup_mixed_motorability,dedup_review_flag,notes
GEO_0249,46.49680934565833,12.634994061347587,778926.666084496,5155670.759471135,1,1,134146696,secondary,SP465,,OPEN_ORDINARY,OPEN_ORDINARY,highway=secondary; ref=SP465; surface=asphalt,MEDIUM,TO_BE_RECONCILED,SECONDARY_BUT_POSSIBLY_MATERIAL,TO_BE_RECONCILED,TO_BE_RECONCILED,,False,0.0,False,False,
GEO_0250,46.49547450519775,12.63790736717544,779157.0387524175,5155532.75650486,2,1,134146696,secondary,SP465,,OPEN_ORDINARY,OPEN_ORDINARY,highway=secondary; ref=SP465; surface=asphalt,MEDIUM,TO_BE_RECONCILED,SECONDARY_BUT_POSSIBLY_MATERIAL,TO_BE_RECONCILED,TO_BE_RECONCILED,,False,101.751,False,False,
GEO_0251,46.495524931416625,12.63800546032771,779164.3069728654,5155538.706186231,2,1,134146750,secondary,SR465,,OPEN_ORDINARY,OPEN_ORDINARY,highway=secondary; ref=SR465,MEDIUM,TO_BE_RECONCILED,SECONDARY_BUT_POSSIBLY_MATERIAL,TO_BE_RECONCILED,TO_BE_RECONCILED,,False,3.287,False,False,
GEO_0252,45.83097079098512,12.594477358913698,779169.8658395833,5081552.784758111,1,1,201438337,unclassified,,Via Luigi Bailo,OPEN_LOCAL,OPEN_LOCAL,highway=unclassified; name=Via Luigi Bailo,LOW,TO_BE_RECONCILED,MINOR_LIKELY_EXCLUDABLE,TO_BE_RECONCILED,TO_BE_RECONCILED,,False,0.0,False,False,
GEO_0253,45.82931713081462,12.595251702420192,779238.2837587849,5081371.777577393,2,1,201438337,unclassified,,Via Luigi Bailo,OPEN_LOCAL,OPEN_LOCAL,highway=unclassified; name=Via Luigi Bailo,LOW,TO_BE_RECONCILED,MINOR_LIKELY_EXCLUDABLE,TO_BE_RECONCILED,TO_BE_RECONCILED,,False,39.153,False,False,
GEO_0254,45.83188671116752,12.59587869436529,779274.1114899495,5081659.445871907,1,1,1126379735,footway,,,NON_MOTOR_VEHICLE,NON_MOTOR_VEHICLE,highway=footway,VERY_LOW,TO_BE_RECONCILED,RESTRICTED_NOT_MODELLABLE,TO_BE_RECONCILED,TO_BE_RECONCILED,,False,0.0,False,False,
GEO_0255,45.825495710901414,12.596176187209723,779329.2220983568,5080950.464445919,1,1,45356211,tertiary,,Via Livenza,OPEN_ORDINARY,OPEN_ORDINARY,highway=tertiary; name=Via Livenza; surface=asphalt,MEDIUM,TO_BE_RECONCILED,SECONDARY_BUT_POSSIBLY_MATERIAL,TO_BE_RECONCILED,TO_BE_RECONCILED,,False,0.0,False,False,
GEO_0256,45.82303966895367,12.597849627863138,779471.5049954143,5080683.465212584,2,1,567406498,tertiary,,Via Livenza,OPEN_ORDINARY,OPEN_ORDINARY,highway=tertiary; name=Via Livenza; surface=asphalt,MEDIUM,TO_BE_RECONCILED,SECONDARY_BUT_POSSIBLY_MATERIAL,TO_BE_RECONCILED,TO_BE_RECONCILED,,False,92.608,False,False,
GEO_0257,45.82248438821547,12.597822280566792,779472.1625716231,5080621.67923917,2,2,923039115|1169815040,cycleway|track,,Argine Trameacque Meduna,AGRICULTURAL_TRACK,AGRICULTURAL_TRACK|NON_MOTOR_VEHICLE,highway=cycleway; name=Argine Trameacque Meduna; motor_vehicle=no; bicycle=yes; foot=yes; tracktype=grade2; surface=gravel || highway=track,VERY_LOW,TO_BE_RECONCILED,RESTRICTED_NOT_MODELLABLE,TO_BE_RECONCILED,TO_BE_RECONCILED,,False,7.043,False,False,
GEO_0258,45.83355962960215,12.598677922408772,779483.120954028,5081855.10598323,2,2,249050457|249050458,residential,,Via Ettore Majorana,OPEN_LOCAL,OPEN_LOCAL,highway=residential; name=Via Ettore Majorana,LOW,TO_BE_RECONCILED,MINOR_LIKELY_EXCLUDABLE,TO_BE_RECONCILED,TO_BE_RECONCILED,,False,4.955,False,False,
GEO_0259,45.83422192208323,12.599109646121237,779513.3287014582,5081930.197567262,1,1,220233380,unclassified,,Via San Marco,OPEN_LOCAL,OPEN_LOCAL,highway=unclassified; name=Via San Marco,LOW,TO_BE_RECONCILED,MINOR_LIKELY_EXCLUDABLE,TO_BE_RECONCILED,TO_BE_RECONCILED,,False,0.0,False,False,
GEO_0260,46.5702083018427,12.654557649654542,780049.7127034597,5163895.126592498,2,2,73863886|361378703,track,,,AGRICULTURAL_TRACK,AGRICULTURAL_TRACK,highway=track; tracktype=grade3 || highway=track; tracktype=grade4,VERY_LOW,TO_BE_RECONCILED,RESTRICTED_NOT_MODELLABLE,TO_BE_RECONCILED,TO_BE_RECONCILED,,False,3.07,False,False,
GEO_0261,45.83870549466684,12.60644375293248,780060.3656462024,5082454.035085005,1,1,169532937,track,,,AGRICULTURAL_TRACK,AGRICULTURAL_TRACK,highway=track; tracktype=grade2; surface=compacted,VERY_LOW,TO_BE_RECONCILED,RESTRICTED_NOT_MODELLABLE,TO_BE_RECONCILED,TO_BE_RECONCILED,,False,0.0,False,False,
GEO_0262,46.570396226673466,12.655193788000052,780097.4878920631,5163918.267258915,1,1,73863861,service,,,OPEN_LOCAL,OPEN_LOCAL,highway=service; surface=asphalt,VERY_LOW,TO_BE_RECONCILED,MINOR_LIKELY_EXCLUDABLE,TO_BE_RECONCILED,TO_BE_RECONCILED,,False,0.0,False,False,
GEO_0263,46.57045685837093,12.655381879625999,780111.5877449263,5163925.672431072,1,1,321425289,primary,SR355,,OPEN_ORDINARY,OPEN_ORDINARY,highway=primary; ref=SR355; surface=asphalt,HIGH,TO_BE_RECONCILED,CORE_CANDIDATE,TO_BE_RECONCILED,TO_BE_RECONCILED,,False,0.0,False,False,
GEO_0264,45.83880553314238,12.607431314407755,780136.5496847001,5082468.6169707775,1,1,248875230,unclassified,,Via Brozzette di Pozzo,OPEN_LOCAL,OPEN_LOCAL,highway=unclassified; name=Via Brozzette di Pozzo,LOW,TO_BE_RECONCILED,MINOR_LIKELY_EXCLUDABLE,TO_BE_RECONCILED,TO_BE_RECONCILED,,False,0.0,False,False,
GEO_0265,46.48509441431668,12.652018748489624,780293.1941467884,5154429.507999039,1,1,1426390187,path,,,NON_MOTOR_VEHICLE,NON_MOTOR_VEHICLE,highway=path,VERY_LOW,TO_BE_RECONCILED,RESTRICTED_NOT_MODELLABLE,TO_BE_RECONCILED,TO_BE_RECONCILED,,False,0.0,False,False,
GEO_0266,46.48497615489743,12.65248261786673,780329.4019772047,5154418.016712039,1,1,34647793,path,,,NON_MOTOR_VEHICLE,NON_MOTOR_VEHICLE,highway=path,VERY_LOW,TO_BE_RECONCILED,RESTRICTED_NOT_MODELLABLE,TO_BE_RECONCILED,TO_BE_RECONCILED,,False,0.0,False,False,
GEO_0267,46.47704562996588,12.657795957643502,780778.0202634983,5153555.789098812,1,1,254019752,secondary,SP33,,OPEN_ORDINARY,OPEN_ORDINARY,highway=secondary; ref=SP33; surface=asphalt,MEDIUM,TO_BE_RECONCILED,SECONDARY_BUT_POSSIBLY_MATERIAL,TO_BE_RECONCILED,TO_BE_RECONCILED,,False,0.0,False,False,
GEO_0268,46.584299670372474,12.67168103196468,781288.8138355336,5165521.760021461,1,1,391093525,path,,,NON_MOTOR_VEHICLE,NON_MOTOR_VEHICLE,highway=path; surface=gravel,VERY_LOW,TO_BE_RECONCILED,RESTRICTED_NOT_MODELLABLE,TO_BE_RECONCILED,TO_BE_RECONCILED,,False,0.0,False,False,
GEO_0269,45.82986786629756,12.625328992457703,781571.4763984958,5081538.680141126,1,1,130658040,secondary,SP51,Via Fossamulano,OPEN_ORDINARY,OPEN_ORDINARY,highway=secondary; ref=SP51; name=Via Fossamulano; surface=asphalt,MEDIUM,TO_BE_RECONCILED,SECONDARY_BUT_POSSIBLY_MATERIAL,TO_BE_RECONCILED,TO_BE_RECONCILED,,False,0.0,False,False,
GEO_0270,46.6002370568546,12.68843139864828,782489.0402031341,5167352.4434951935,1,1,198048112,path,,,NON_MOTOR_VEHICLE,NON_MOTOR_VEHICLE,highway=path; surface=ground,VERY_LOW,TO_BE_RECONCILED,RESTRICTED_NOT_MODELLABLE,TO_BE_RECONCILED,TO_BE_RECONCILED,,False,0.0,False,False,
GEO_0271,46.600559389827744,12.689823158915868,782593.9458632341,5167393.249742488,1,1,1308846829,path,,,NON_MOTOR_VEHICLE,NON_MOTOR_VEHICLE,highway=path,VERY_LOW,TO_BE_RECONCILED,RESTRICTED_NOT_MODELLABLE,TO_BE_RECONCILED,TO_BE_RECONCILED,,False,0.0,False,False,
GEO_0272,46.601484167703696,12.698482074027108,783252.2326312768,5167527.10565267,1,1,454179344,path,,,NON_MOTOR_VEHICLE,NON_MOTOR_VEHICLE,highway=path; surface=ground,VERY_LOW,TO_BE_RECONCILED,RESTRICTED_NOT_MODELLABLE,TO_BE_RECONCILED,TO_BE_RECONCILED,,False,0.0,False,False,
